recordid;departmentname;regioncode;departmentcode;oktmodepartment;end_date;autokey
3150414500868396831;Отделение Министерства внутренних дел по Алькеевскому району;16;;;;MVDR23_DEPARTMENTS_3150414500868396831
3201174173992883212;ДЧ Отдела полиции № 6 (дислокация Ленинский район) Управления МВД России по г. Перми;59;;;;MVDR23_DEPARTMENTS_3201174173992883212
3177083064358540980;ДЧ УМВД России по г. Старому Осколу;31;;;;MVDR23_DEPARTMENTS_3177083064358540980
3136628840227411087;Отдел Министерства внутренних дел по Сабинскому району;16;;;;MVDR23_DEPARTMENTS_3136628840227411087
3083641670965663083;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ХАРЦЫЗСКИЙ""";93;800-037;21000000000;;MVDR23_DEPARTMENTS_3083641670965663083
3201614803017668140;"ДЧ МО МВД России ""Очерский""";59;;;;MVDR23_DEPARTMENTS_3201614803017668140
3141500468010685773;Отдел Министерства внутренних дел по Алексеевскому району;16;;;;MVDR23_DEPARTMENTS_3141500468010685773
3165467274723202183;"Отдел полиции № 3 ""Центральный"" Управления Министерства внутренних дел по городу Набережные Челны";16;;;;MVDR23_DEPARTMENTS_3165467274723202183
3085026533635527921;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""АЛЧЕВСКИЙ""";94;810-006;43703000;;MVDR23_DEPARTMENTS_3085026533635527921
3082748066722223857;БСТМ УМВД России по Вологодской области;35;;;;MVDR23_DEPARTMENTS_3082748066722223857
3110398268895401360;ООЗП УВМ УМВД РОССИИ ПО ТЮМЕНСКОЙ ОБЛАСТИ;72;720-027;71701000;;MVDR23_DEPARTMENTS_3110398268895401360
3176290623959340408;Отдел Министерства внутренних дел по Мамадышскому району;16;;;;MVDR23_DEPARTMENTS_3176290623959340408
3133593225432929349;Отделение УФМС России по Новосибирской области в Черепановском районе;54;540-041;;;MVDR23_DEPARTMENTS_3133593225432929349
3177085367492810194;ДЧ ОМВД России по Чернянскому р-ну;31;;;;MVDR23_DEPARTMENTS_3177085367492810194
3133547259728238036;Управление МВД России по г. Кемерово;42;;;;MVDR23_DEPARTMENTS_3133547259728238036
3141483276347119008;Отдел Министерства внутренних дел по Пестречинскому району;16;;;;MVDR23_DEPARTMENTS_3141483276347119008
3141478815562208877;Отдел Министерства внутренних дел по Елабужскому району;16;;;;MVDR23_DEPARTMENTS_3141478815562208877
3085032736491050847;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""КИРОВСКИЙ""";94;810-009;43710000;;MVDR23_DEPARTMENTS_3085032736491050847
3136609926701389817;Отделение Министерства внутренних дел по Атнинскому району;16;;;;MVDR23_DEPARTMENTS_3136609926701389817
3201166932392809646;ДЧ Отдела полиции № 3 (дислокация Кировский район) Управления МВД России по г. Перми;59;;;;MVDR23_DEPARTMENTS_3201166932392809646
3085067382507443413;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ЛУТУГИНСКИЙ""";94;810-015;43514000;;MVDR23_DEPARTMENTS_3085067382507443413
3175763846388258639;Отдел Министерства внутренних дел по Спасскому району;16;;;;MVDR23_DEPARTMENTS_3175763846388258639
3136598880104223765;"Межмуниципальный отдел МВД России ""Верхнеуслонский""";16;;;;MVDR23_DEPARTMENTS_3136598880104223765
3179848827263784374;"МО МВД России ""Белозерский""";35;;;;MVDR23_DEPARTMENTS_3179848827263784374
3195846496691950599;Восточно-Сибирское ЛУ МВД России на транспорте;38;;;;MVDR23_DEPARTMENTS_3195846496691950599
3202513396570264800;ОУР ОМВД России по Александровскому муниципальному округу Пермского края,;59;;;;MVDR23_DEPARTMENTS_3202513396570264800
3087882959391298958;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""БРЯНКОВСКИЙ""";94;810-029;43707000;;MVDR23_DEPARTMENTS_3087882959391298958
3136413213181088923;Отдел МВД России по Промышленновскому муниципальному округу;42;;;;MVDR23_DEPARTMENTS_3136413213181088923
3166180851377509424;ГУОР МВД России;00;;;;MVDR23_DEPARTMENTS_3166180851377509424
3190836748078814310;"Межмуниципальный отдел Министерства внутренних дел Российской Федерации ""Чамзинский""";13;;;;MVDR23_DEPARTMENTS_3190836748078814310
3205990903789393100;УФСБ России по Ростовской области;00;;;;MVDR23_DEPARTMENTS_3205990903789393100
3129913323231909861;Отдел Министерства внутренних дел по Азнакаевскому району;16;;;;MVDR23_DEPARTMENTS_3129913323231909861
3083615888604140613;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ""ВОЛНОВАХСКИЙ""";93;800-028;21000000000;;MVDR23_DEPARTMENTS_3083615888604140613
3093766352016513018;Отдел МВД России по г. Осинники;42;;;;MVDR23_DEPARTMENTS_3093766352016513018
3129198208517936717;Отдел Министерства внутренних дел по Заинскому району;16;;;;MVDR23_DEPARTMENTS_3129198208517936717
3175772723741725942;Отдел Министерства внутренних дел по Лаишевскому району;16;;;;MVDR23_DEPARTMENTS_3175772723741725942
3082795065962141312;4 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ КИЕВСКОГО РАЙОНА Г.ДОНЕЦКА;93;800-006;21000000000;;MVDR23_DEPARTMENTS_3082795065962141312
3169094272959911236;Бюро специальных технических мероприятий МВД по Республике Татарстан;16;;;;MVDR23_DEPARTMENTS_3169094272959911236
3136437145267345063;"Отделение МВД России ""Тисульское""";42;;;;MVDR23_DEPARTMENTS_3136437145267345063
3216261502914795314;УФСБ России по Красноярскому краю;00;;;;MVDR23_DEPARTMENTS_3216261502914795314
3201105210315380595;УФСБ России по Хабаровскому краю;00;;;;MVDR23_DEPARTMENTS_3201105210315380595
3129897261488674007;Отдел Министерства внутренних дел по Балтасинскому району;16;;;;MVDR23_DEPARTMENTS_3129897261488674007
3177080733114046266;ДЧ ОМВД России по Ракитянскому р-ну;31;;;;MVDR23_DEPARTMENTS_3177080733114046266
3176942610036036869;ОМВД России по Вытегорскому району;35;;;;MVDR23_DEPARTMENTS_3176942610036036869
3177193818814420694;ОМВД РОССИИ ПО КИРИЛЛОВСКОМУ РАЙОНУ;35;;;;MVDR23_DEPARTMENTS_3177193818814420694
3082810361859019952;8 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ ПЕТРОВСКОГО РАЙОНА Г.ДОНЕЦКА;93;800-010;21000000000;;MVDR23_DEPARTMENTS_3082810361859019952
3129322557241562580;"Отдел полиции № 4 ""Юдино"" Управления министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3129322557241562580
3205993333532923602;УФСБ России по Кемеровской области;00;;;;MVDR23_DEPARTMENTS_3205993333532923602
3195844577126782956;УТ МВД России по СКФО;61;;;;MVDR23_DEPARTMENTS_3195844577126782956
3192453242495702873;"Отдел полиции №5 ""Московский"" Управления МВД России по г. Казани";16;;;;MVDR23_DEPARTMENTS_3192453242495702873
3200529526958331535;ДЧ ОМВД России по Добрянскому городскому округу;59;;;;MVDR23_DEPARTMENTS_3200529526958331535
3211929041846146453;ДЧ Отделения МВД России по Красновишерскому городскому округу;59;;;;MVDR23_DEPARTMENTS_3211929041846146453
3205469203624629504;УНК ГУ МВД России по Пермскому краю;59;;;;MVDR23_DEPARTMENTS_3205469203624629504
3209765171480237313;"ДЧ МП ОП №1 (дислокация г.Кизел) МО МВД России ""Губахинский""";59;;;;MVDR23_DEPARTMENTS_3209765171480237313
3165462992347207195;"Отдел полиции № 2 ""Комсомольский"" Управления Министерства внутренних дел по городу Набережные Челны";16;;;;MVDR23_DEPARTMENTS_3165462992347207195
3164904935158453473;"Отдел полиции № 1 ""Автозаводский"" Управления Министерства внутренних дел по городу Набережные Челны";16;;;;MVDR23_DEPARTMENTS_3164904935158453473
3177050147796292956;ДЧ ОМВД России по Борисовскому р-ну;31;;;;MVDR23_DEPARTMENTS_3177050147796292956
3202577071272367213;ДЧ МО МВД России «Кочевский»;59;;;;MVDR23_DEPARTMENTS_3202577071272367213
3080761387538977879;МВД ПО ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКЕ;93;;;;MVDR23_DEPARTMENTS_3080761387538977879
3105736473383539734;"ЦЕНТР ВРЕМЕННОГО СОДЕРЖАНИЯ ИНОСТРАННЫХ ГРАЖДАН МЕЖМУНИЦИПАЛЬНОГО ОТДЕЛА МИНИСТРЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ""БИРОБИДЖАНСКИЙ""";79;;;;MVDR23_DEPARTMENTS_3105736473383539734
3176984345491544021;Отделение Министерства внутренних дел по Новошешминскому району;16;;;;MVDR23_DEPARTMENTS_3176984345491544021
3085076417709348279;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""БЕЛОКУРАКИНСКИЙ""";94;810-021;43505000;;MVDR23_DEPARTMENTS_3085076417709348279
3015061126984504465;ДЗЕРЖИНСКИЙ ГО;93;131432;;14.01.2023;MVDR23_DEPARTMENTS_3015061126984504465
3135846267289081773;"Отдел полиции № 9 ""Сафиуллина"" Управления министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3135846267289081773
3177017254009116558;ДЧ ОМВД России по Алексеевскому г.о.;31;;;;MVDR23_DEPARTMENTS_3177017254009116558
3108194573856282301;Управление МВД России по г. Новокузнецку;42;;;;MVDR23_DEPARTMENTS_3108194573856282301
3087879657903625267;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""СТАНИЧНО-ЛУГАНСКИЙ""";94;810-026;43538000;;MVDR23_DEPARTMENTS_3087879657903625267
3199687532459594848;"Дежурная часть Отделения МВД России ""Кишертское""";59;;;;MVDR23_DEPARTMENTS_3199687532459594848
3202356063378609269;ДЧ Отдела МВД России по Чайковскому городскому округу;59;;;;MVDR23_DEPARTMENTS_3202356063378609269
3129167943854724841;"Отдел полиции № 17 ""Ямашевский"" Управления Министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3129167943854724841
3176318584028665792;"Отдел полиции № 15 ""Танкодром"" Управления министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3176318584028665792
3219821270820460250;ОУУП и ПДН ОМВД России «Куединский»;59;;;;MVDR23_DEPARTMENTS_3219821270820460250
3087873911027668902;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""НОВОАЙДАРСКИЙ""";94;810-022;43520000;;MVDR23_DEPARTMENTS_3087873911027668902
3136455349796607116;Отделение МВД России по Тяжинскому муниципальному округу;42;;;;MVDR23_DEPARTMENTS_3136455349796607116
3135049973532464606;"Отдел полиции № 14 ""Дербышки"" Управления министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3135049973532464606
3159676662660994818;Отдел Министерства внутренних дел по Арскому району;16;;;;MVDR23_DEPARTMENTS_3159676662660994818
3196529991756027630;УТ МВД России по ЦФО;77;;;;MVDR23_DEPARTMENTS_3196529991756027630
3085034317567498088;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""КРАСНОДОНСКИЙ""";94;810-010;43510000;;MVDR23_DEPARTMENTS_3085034317567498088
3083644971262154501;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ЯСИНОВАТСКИЙ""";93;800-039;21000000000;;MVDR23_DEPARTMENTS_3083644971262154501
3200422323031119607;Дежурная часть ОМВД России по Александровскому МО;59;;;;MVDR23_DEPARTMENTS_3200422323031119607
3082802929258730923;6 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ КУЙБЫШЕВСКОГО РАЙОНА Г.ДОНЕЦКА;93;800-008;21000000000;;MVDR23_DEPARTMENTS_3082802929258730923
3129152454852089708;Отдел Министерства внутренних дел по Рыбно-Слободскому району;16;;;;MVDR23_DEPARTMENTS_3129152454852089708
3087887409061303921;"МИГРАЦИОННЫЙ ПУНКТ ПУНКТА ПОЛИЦИИ № 2 ОМВД РОССИИ ""ЖОВТНЕВЫЙ""";94;810-033;43000000;;MVDR23_DEPARTMENTS_3087887409061303921
3082786724548449297;2 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ ВОРОШИЛОВСКОГО РАЙОНА НА Г.ДОНЕЦКА;93;800-004;21000000000;;MVDR23_DEPARTMENTS_3082786724548449297
3111129520279655847;ОТДЕЛ ПО РАБОТЕ С ГРАЖДАНАМИ РОССИЙСКОЙ ФЕДЕРАЦИИ УВМ МВД ПО РЕСПУБЛИКЕ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ МВД РОССИИ ПО РЕСПУБЛИКЕ СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ;15;150-001;90701000;;MVDR23_DEPARTMENTS_3111129520279655847
3190833594188699047;Отдел полиции №4 (по обслуживанию Пролетарского района городского округа Саранск) управления Министерства внутренних дел Российской Федерации по городскому округу Саранск;13;;;;MVDR23_DEPARTMENTS_3190833594188699047
3177166118313792972;"ОП ПО ОБСЛУЖИВАНИЮ ТЕРРИТОРИИ УСТЮЖЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МО МВД РОССИИ ""БАБАЕВСКИЙ""";35;;;;MVDR23_DEPARTMENTS_3177166118313792972
3176302138548557287;"МОМВД России ""Ленинский""";79;;;;MVDR23_DEPARTMENTS_3176302138548557287
3082834687303882357;"ОВМ УМВД РОССИИ ""МАКЕЕВСКОЕ""";93;800-016;21000000000;;MVDR23_DEPARTMENTS_3082834687303882357
3083612009862796569;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МВД РОССИИ ""АМВРОСИЕВСКИЙ""";93;800-027;21000000000;;MVDR23_DEPARTMENTS_3083612009862796569
3087886335495641020;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""МЕЛОВСКИЙ""";94;810-032;43518000;;MVDR23_DEPARTMENTS_3087886335495641020
3116146616776529855;Отдел МВД России по Беловскому муниципальному округу;42;;;;MVDR23_DEPARTMENTS_3116146616776529855
3136626929789048338;Отдел Министерства внутренних дел по Тетюшскому району;16;;;;MVDR23_DEPARTMENTS_3136626929789048338
3212008714420623047;МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛА ПОЛИЦИИ №4 (дислокация п. Строитель) УПРАВЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО Г. ТАМБОВУ;68;680-028;68701000001;;MVDR23_DEPARTMENTS_3212008714420623047
3085016009355040445;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""АРТЕМОВСКИЙ""";94;810-002;43000000;;MVDR23_DEPARTMENTS_3085016009355040445
3177177587285759124;"Отдел полиции № 11 ""Восход"" Управления министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3177177587285759124
3136395059881055383;Отдел МВД России по Анжеро-Судженскому городскому округу;42;;;;MVDR23_DEPARTMENTS_3136395059881055383
3080793228320969822;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ ПО ДОНЕЦКОЙ НАРОДНОЙ РЕСПУБЛИКЕ;93;800-001;21000000000;;MVDR23_DEPARTMENTS_3080793228320969822
3136399773221787378;Отделение МВД России по г. Мыски;42;;;;MVDR23_DEPARTMENTS_3136399773221787378
3212497367672559230;УФСБ России по Республике Алтай;00;;;;MVDR23_DEPARTMENTS_3212497367672559230
3129195763364533368;Отдел Министерства внутренних дел по Сармановскому району;16;;;;MVDR23_DEPARTMENTS_3129195763364533368
3143794286949045947;Оперативно-поисковое бюро МВД по Республике Татарстан;16;;;;MVDR23_DEPARTMENTS_3143794286949045947
3129206669309908613;Отдел Министерства внутренних дел по Апастовскому району;16;;;;MVDR23_DEPARTMENTS_3129206669309908613
3131166457317037361;Отделение МВД России по Ижморскому муниципальному округу;42;;;;MVDR23_DEPARTMENTS_3131166457317037361
3211749924622309299;УФСБ России по Республике Марий Эл;00;;;;MVDR23_DEPARTMENTS_3211749924622309299
3085031267662567301;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""СТАХАНОВСКИЙ""";94;810-008;43735000;;MVDR23_DEPARTMENTS_3085031267662567301
3190829912118269307;Управление Министерства внутренних дел Российской Федерации по городскому округу Саранск;13;;;;MVDR23_DEPARTMENTS_3190829912118269307
3085021520267842826;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""КАМЕННОБРОДСКИЙ""";94;810-004;43000000;;MVDR23_DEPARTMENTS_3085021520267842826
3177058425951491947;ДЧ ОМВД России по Волоконовскому р-ну;31;;;;MVDR23_DEPARTMENTS_3177058425951491947
3135722221410981781;Отдел МВД России по г. Березовскому;42;;;;MVDR23_DEPARTMENTS_3135722221410981781
3190835067463144649;Межмуниципальный отдел Министерства внутренних дел Российской Федерации «Лямбирский»;13;;;;MVDR23_DEPARTMENTS_3190835067463144649
3176481092471363213;Отделение Министерства внутренних дел по Тюлячинскому району;16;;;;MVDR23_DEPARTMENTS_3176481092471363213
3176950602886289008;"МО МВД России ""Верховажский""";35;;;;MVDR23_DEPARTMENTS_3176950602886289008
3129894231842231460;Отдел Министерства внутренних дел по Актанышскому району;16;;;;MVDR23_DEPARTMENTS_3129894231842231460
3129216236475389108;Отдел Министерства внутренних дел по Ютазинскому району;16;;;;MVDR23_DEPARTMENTS_3129216236475389108
3115542315330967497;ОМВД России по Великоустюгскому району;35;;;;MVDR23_DEPARTMENTS_3115542315330967497
3200499057931851489;ДЧ ОМВД России по Соликамскому ГО;59;;;;MVDR23_DEPARTMENTS_3200499057931851489
3085036060686686193;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""КРАСНОЛУЧСКИЙ""";94;810-011;43714000;;MVDR23_DEPARTMENTS_3085036060686686193
3164903190453819012;Управление Министерства внутренних дел по городу Набережные Челны;16;;;;MVDR23_DEPARTMENTS_3164903190453819012
3201845755673318404;ДЧ ОМВД России по Нытвенскому городскому округу;59;;;;MVDR23_DEPARTMENTS_3201845755673318404
3129340189634205331;Отдел Министерства внутренних дел по Аксубаевскому району;16;;;;MVDR23_DEPARTMENTS_3129340189634205331
3085075209095485340;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""БЕЛОВОДСКИЙ""";94;810-020;43503000;;MVDR23_DEPARTMENTS_3085075209095485340
3177045305925310174;ДЧ УМВД России по г. Белгороду;31;;;;MVDR23_DEPARTMENTS_3177045305925310174
3197515926689813597;"ДЧ Отдела МВД России ""Бардымский""";59;;;;MVDR23_DEPARTMENTS_3197515926689813597
3134275312997635923;Отдел Министерства внутренних дел по Чистопольскому району;16;;;;MVDR23_DEPARTMENTS_3134275312997635923
3190837245372274021;Отделение Министерства внутренних дел Российской Федерации по Ромодановскому муниципальному району;13;;;;MVDR23_DEPARTMENTS_3190837245372274021
3165469907957585739;"Отдел полиции № 4 ""Электротехнический"" Управления Министерства внутренних дел по городу Набережные Челны";16;;;;MVDR23_DEPARTMENTS_3165469907957585739
3177084487796266192;ДЧ УМВД России по Белгородской обл.;31;;;;MVDR23_DEPARTMENTS_3177084487796266192
3179240274429744872;Управление Министерства внутренних дел по Нижнекамскому району;16;;;;MVDR23_DEPARTMENTS_3179240274429744872
3083595466470855833;"4 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ ЦЕНТРАЛЬНО-ГОРОДСКОГО РАЙОНА Г.МАКЕЕВКИ ОВМ УМВД РФ ""МАКЕЕВСКОЕ""";93;800-020;21000000000;;MVDR23_DEPARTMENTS_3083595466470855833
3136403959850210399;"Отдел МВД России ""Мариинский""";42;;;;MVDR23_DEPARTMENTS_3136403959850210399
3177065676829365829;ДЧ ОМВД России по Грайворонскому г.о.;31;;;;MVDR23_DEPARTMENTS_3177065676829365829
3179859849382991193;"МО МВД России ""Грязовецкий""";35;;;;MVDR23_DEPARTMENTS_3179859849382991193
3085019197101577533;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ЖОВТНЕВЫЙ""";94;810-003;43000000;;MVDR23_DEPARTMENTS_3085019197101577533
3202579782336255854;ДЧ ПП №2 (дислокация с.Юрла) МО МВД России «Кочевский»;59;;;;MVDR23_DEPARTMENTS_3202579782336255854
3205228297810089207;ОИАЗ ОГИБДД УМВД России по г. Череповцу;35;;;;MVDR23_DEPARTMENTS_3205228297810089207
3082797390546080779;5 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ КИРОВСКОГО РАЙОНА Г.ДОНЕЦКА;93;800-007;21000000000;;MVDR23_DEPARTMENTS_3082797390546080779
3176488908170991313;"Отдел полиции № 13 ""Азино-2"" Управления министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3176488908170991313
3090055115118220886;"ПВР ""ЗАГОРОДНЫЙ КЛУБ ""ЕРМАК""";52;;;;MVDR23_DEPARTMENTS_3090055115118220886
3192379553691473474;Рузаевский ЛО МВД России на транспорте;13;;;;MVDR23_DEPARTMENTS_3192379553691473474
3087891357604255369;"МИГРАЦИОННЫЙ ПУНКТ ПУНКТА ПОЛИЦИИ (БЕЛОЛУЦК) ОМВД РОССИИ ""НОВОПСКОВСКИЙ""";94;810-035;43522000;;MVDR23_DEPARTMENTS_3087891357604255369
3219730701611964160;ВОГОиП МВД России;00;;;;MVDR23_DEPARTMENTS_3219730701611964160
3177069634062915069;ДЧ ОМВД России по г. Губкину;31;;;;MVDR23_DEPARTMENTS_3177069634062915069
3201073427951654670;ДЧ Управления МВД России по г. Перми;59;;;;MVDR23_DEPARTMENTS_3201073427951654670
3083629602199836284;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ПЕРШОТРАВНЕВЫЙ""";93;800-033;21000000000;;MVDR23_DEPARTMENTS_3083629602199836284
3185863154668147795;ОМВД России по Чагодощенскому району;35;;;;MVDR23_DEPARTMENTS_3185863154668147795
3128611826380576017;"Отдел полиции № 1 ""Авиастроительный"" Управления министерства внутренних дел по городу Казани";16;;;;MVDR23_DEPARTMENTS_3128611826380576017
3134285992979076653;Отдел Министерства внутренних дел по Дрожжановскому району;16;;;;MVDR23_DEPARTMENTS_3134285992979076653
3083626130868016841;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""НОВОАЗОВСКИЙ""";93;800-032;21000000000;;MVDR23_DEPARTMENTS_3083626130868016841
3083637676906124895;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ  ""СТАРОБЕШЕВСКИЙ""";93;800-035;21000000000;;MVDR23_DEPARTMENTS_3083637676906124895
3205992012662708067;УФСБ России по Томской области;00;;;;MVDR23_DEPARTMENTS_3205992012662708067
3087889446083761331;"МИГРАЦИОННЫЙ ПУНКТ ОТДЕЛЕНИЯ ПОЛИЦИИ (ПОПАСНАЯ) ОМВД РОССИИ ""ПЕРВОМАЙСКИЙ""";94;810-034;43725000;;MVDR23_DEPARTMENTS_3087889446083761331
3083651245152408630;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛЕНИЯ МВД РОССИИ ""ТЕЛЬМАНОВСКОЕ""";93;800-042;21000000000;;MVDR23_DEPARTMENTS_3083651245152408630
3177078825779468193;ДЧ ОМВД России по Новооскольскому г.о.;31;;;;MVDR23_DEPARTMENTS_3177078825779468193
3082836671897540490;"1 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ ГОРНЯЦКОГО РАЙОНА Г.МАКЕЕВКИ ОВМ УМВД РФ ""МАКЕЕВСКОЕ""";93;800-017;21000000000;;MVDR23_DEPARTMENTS_3082836671897540490
3211745883125192520;УФСБ России по Белгородской области;00;;;;MVDR23_DEPARTMENTS_3211745883125192520
3083603332888008043;"1 ОТДЕЛЕНИЕ (ПО ОБСЛУЖИВАНИЮ ЖОВТНЕВОГО РАЙОНА Г.МАРИУПОЛЯ) ОТДЕЛА ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ""МАРИУПОЛЬСКОЕ""";93;800-023;21000000000;;MVDR23_DEPARTMENTS_3083603332888008043
3136334262807041373;Отдел МВД России по г. Калтан;42;;;;MVDR23_DEPARTMENTS_3136334262807041373
3185879198610757171;ОМВД России по Кичменгско - Городецкому району;35;;;;MVDR23_DEPARTMENTS_3185879198610757171
3111236538021713458;Виртуальный офис;78;;;;MVDR23_DEPARTMENTS_3111236538021713458
3083610424164226090;"4 ОТДЕЛЕНИЕ (ПО ОБСЛУЖИВАНИЮ ПРИМОРСКОГО РАЙОНА Г.МАРИУПОЛЯ) ОТДЕЛА ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ""МАРИУПОЛЬСКОЕ""";93;800-026;21000000000;;MVDR23_DEPARTMENTS_3083610424164226090
3190833276050740433;Отдел полиции №3 (по обслуживанию Ленинского района городского округа Саранск) управления Министерства внутренних дел Российской Федерации по городскому округу Саранск;13;;;;MVDR23_DEPARTMENTS_3190833276050740433
3085023595936618432;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ЛЕНИНСКИЙ""";94;810-005;43000000;;MVDR23_DEPARTMENTS_3085023595936618432
3129236751411844152;Отдел Министерства внутренних дел по Высокогорскому району;16;;;;MVDR23_DEPARTMENTS_3129236751411844152
3087881924899772117;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""ПЕРЕВАЛЬСКИЙ""";94;810-028;43526000;;MVDR23_DEPARTMENTS_3087881924899772117
3087875671637103763;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""НОВОПСКОВСКИЙ""";94;810-023;43522000;;MVDR23_DEPARTMENTS_3087875671637103763
3129914241247614526;Отдел Министерства внутренних дел по Бавлинскому району;16;;;;MVDR23_DEPARTMENTS_3129914241247614526
3136456618674231178;Отдел МВД России по Яшкинскому муниципальному округу;42;;;;MVDR23_DEPARTMENTS_3136456618674231178
3195845465421649330;УТ МВД России по ПФО;52;;;;MVDR23_DEPARTMENTS_3195845465421649330
3177086158916032236;ДЧ ОМВД России по Шебекинскому г.о.;31;;;;MVDR23_DEPARTMENTS_3177086158916032236
3082777280301241946;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ""ДОНЕЦКОЕ""";93;800-002;21000000000;;MVDR23_DEPARTMENTS_3082777280301241946
3166380524692313809;Управление по контролю за оборотом наркотиков УМВД России по Липецкой области;48;;;;MVDR23_DEPARTMENTS_3166380524692313809
3200465141011322317;"ДЧ МО МВД России ""Кудымкарский";59;;;;MVDR23_DEPARTMENTS_3200465141011322317
3177054618496538474;ДЧ ОМВД России по Вейделевскому р-ну;31;;;;MVDR23_DEPARTMENTS_3177054618496538474
3087884041974715608;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ""КРЕМЕНСКОЙ""";94;810-030;43512000;;MVDR23_DEPARTMENTS_3087884041974715608
3082814627214530441;9 ОТДЕЛЕНИЕ ПО ОБСЛУЖИВАНИЮ ПРОЛЕТАРСКОГО РАЙОНА Г.ДОНЕЦКА;93;800-011;21000000000;;MVDR23_DEPARTMENTS_3082814627214530441
