recordid;departmentname;regioncode;departmentcode;oktmodepartment;end_date;autokey
2593584660986467729;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛЕНИЯ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЕРМЕКЕЕВСКОМУ РАЙОНУ;02;020-043;80625407;;MVDR23_DEPARTMENTS_2593584660986467729
2593584316097238077;МИГРАЦИОННЫЙ ПУНКТ МЕЖМУНИЦИПАЛЬНОГО ОТДЕЛА МВД РОССИИ «БОЛЬШЕБОЛДИНСКИЙ»;52;520-014;22509000;;MVDR23_DEPARTMENTS_2593584316097238077
2593584043123545896;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО КАНЕВСКОМУ РАЙОНУ;23;230-036;03620000;;MVDR23_DEPARTMENTS_2593584043123545896
2593584645173941634;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ САЛАВАТУ;02;020-022;80739000;;MVDR23_DEPARTMENTS_2593584645173941634
2593584240725596145;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО ТУРУХАНСКОМУ РАЙОНУ ГУ МВД РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ;24;240-068;04654000;;MVDR23_DEPARTMENTS_2593584240725596145
2593584171888678832;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО БОГУЧАНСКОМУ РАЙОНУ ГУ МВД РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ;24;240-022;04609000;;MVDR23_DEPARTMENTS_2593584171888678832
2593587807284892980;УПРАВЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ УМВД РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛАСТИ;33;330-000;17701000;;MVDR23_DEPARTMENTS_2593587807284892980
2593584835226244654;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО ИВОЛГИНСКОМУ РАЙОНУ;03;030-013;81622000;;MVDR23_DEPARTMENTS_2593584835226244654
2593584717819286981;МИГРАЦИОННЫЙ ПУНКТ ОМВД РОССИИ ПО КУРУМКАНСКОМУ РАЙОНУ;03;030-016;81630000;;MVDR23_DEPARTMENTS_2593584717819286981
2593584004686944004;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА ПОЛИЦИИ (ВОСТОЧНЫЙ РАЙОН) УМВД РОССИИ ПО Г. НОВОРОССИЙСКУ;23;230-010;03720000;;MVDR23_DEPARTMENTS_2593584004686944004
2593584463543801040;"ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""КУВАНДЫКСКИЙ""";56;560-016;53714000;;MVDR23_DEPARTMENTS_2593584463543801040
2593584840813057587;ОТДЕЛЕНИЕ ПO ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО МУХОРШИБИРСКОМУ РАЙОНУ;03;030-018;81636000;;MVDR23_DEPARTMENTS_2593584840813057587
2593581867621947182;ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ И ПРИГЛАШЕНИЙ УВМ ГУ МВД РОССИИ ПО Г. МОСКВЕ;77;770-001;45382000;;MVDR23_DEPARTMENTS_2593581867621947182
2593582203812189340;"МП (МЕСТО ДИСЛОКАЦИИ Г. КУВШИНОВО) ОТДЕЛА ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""ТОРЖОКСКИЙ""";69;690-020;28750000;;MVDR23_DEPARTMENTS_2593582203812189340
2593582533937468849;ОТДЕЛЕНИЕ ПО ВОПРОСАМ МИГРАЦИИ МВД РОССИИ ПО УСТЬ-ДЖЕГУТИНСКОМУ РАЙОНУ;09;090-008;91635000;;MVDR23_DEPARTMENTS_2593582533937468849
2593584466530145491;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОП № 2 МУ МВД РОССИИ ""ОРЕНБУРГСКОЕ""";56;560-002;53701000;;MVDR23_DEPARTMENTS_2593584466530145491
2593584913793947260;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОМВД РОССИИ ПО БАЛАКЛАВСКОМУ РАЙОНУ УМВД РОССИИ ПО Г. СЕВАСТОПОЛЮ;92;920-001;67312000;;MVDR23_DEPARTMENTS_2593584913793947260
2593582464798561653;"ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ МО МВД РОССИИ ""СКОПИНСКИЙ"" УМВД РОССИИ ПО РЯЗАНСКОЙ ОБЛАСТИ";62;620-006;61644000;;MVDR23_DEPARTMENTS_2593582464798561653
2593584691252565422;ОТДЕЛ ПО ВОПРОСАМ МИГРАЦИИ ОТДЕЛА МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ ОКТЯБРЬСКОМУ;02;020-021;80735000;;MVDR23_DEPARTMENTS_2593584691252565422
