id;name_ru;name_en;regula_code;elpost_code;epgu_code;original_regula_code
4655;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ КАРЕЛИЯ В ПРИОНЕЖСКОМ РНЕ;;100-014;127751;;100-014
4656;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ КАРЕЛИЯ В ПИТКЯРАНТСКОМ РНЕ;;100-013;127752;;100-013
4672;ОТДЕЛ ОФОРМЛЕНИЯ ЗАГРАНИЧНЫХ ПАСПОРТОВ УФМС РОССИИ ПО РСОАЛАНИЯ;;150-001;127768;;150-001
4757;ТП В П ЗАПАДНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ОКТЯБРЬСКОМ РНЕ Г БАРНАУЛА;;220-075;119007;;220-075
4758;ТП В П ЮЖНОМ ОУФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ В ЦЕНТРАЛЬНОМ РНЕ Г БАРНАУЛА;;220-076;119008;;220-076
4761;УФМС РОССИИ ПО АЛТАЙСКОМУ КРАЮ;;221-001;119020;;221-001
5028;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ВОЛГОГРАДСКОЙ ОБЛ В ЧЕРНЫШКОВСКОМ РНЕ ВОЛГОГРАДСКОЙ ОБЛ;;340-043;121740;;340-043
5055;МО УФМС РОССИИ ПО АМУРСКОЙ ОБЛ В ГБЕЛОГОРСКЕ;;280-003;119067;;280-003
5120;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ТЮЛЯЧИНСКОМ РНЕ;;160-059;127589;;160-059
5121;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЧЕРЕМШАНСКОМ РНЕ;;160-060;127590;;160-060
5122;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ТАТАРСТАН В ЮТАЗИНСКОМ РНЕ;;160-061;127591;;160-061
