id;name_ru;name_en;regula_code;elpost_code;epgu_code
51;ОВД ОКИНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;032-017;3178;2593590489970120526
52;ОВД ПРИБАЙКАЛЬСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;032-018;3179;2593591329334237146
53;ОВД СЕВЕРОБАЙКАЛЬСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;032-019;3180;2593589630674671122
54;ОВД Г СЕВЕРОБАЙКАЛЬСКА РЕСПУБЛИКИ БУРЯТИЯ;;032-020;3181;2593595532421109142
55;СЕЛЕНГИНСКИЙ ГРОВД РЕСПУБЛИКИ БУРЯТИЯ;;032-021;3182;2593591782612670006
56;ОВД ИВОЛГИНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;032-023;3184;2593593641117160461
57;ОВД ТАРБАГАТАЙСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;032-024;3185;2593589644180330021
58;ОВД ХОРИНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;032-025;3186;2593589635087078936
59;ЗАГОРСКОЕ ОМ ОВД ЖЕЛЕЗНОДОРОЖНОГО РНА Г УЛАНУДЭ РЕСПУБЛИКИ БУРЯТИЯ;;033-001;3187;2593589630045525521
60;ЗАРЕЧНОЕ ОМ ОВД СОВЕТСКОГО РНА Г УЛАНУДЭ РЕСПУБЛИКИ БУРЯТИЯ;;033-002;3188;2593591772277904935
61;ОКТЯБРЬСКОЕ ОМ ОВД ОКТЯБРЬСКОГО РНА Г УЛАНУДЭ РЕСПУБЛИКИ БУРЯТИЯ;;033-003;3189;2593591775683679788
62;УСТЬБАРГУЗИНСКИЙ ОМ ОВД БАРГУЗИНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-005;3190;2593589636555085338
63;ДЖИДИНСКОЕ ОМ ОВД ДЖИДИНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-006;3191;2593589632184620564
64;НОВОИЛЬИНСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-007;3192;2593589637293282843
65;ОНОХОЙСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-008;3193;2593591745702794755
66;БАБУШКИНСКОЕ ОМ ОВД КАБАНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-009;3194;2593589641437255201
67;БАЙКАЛОКУДАРИНСКИЙ ОМ ОВД КАБАНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-010;3195;2593589639272994334
68;СЕЛЕНГИНСКИЙ ОМ ОВД КАБАНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-011;3196;2593589637972760092
69;КУДАРАСОМОНСКИЙ ОМ ОВД КЯХТИНСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-012;3197;2593589631454811667
70;СЕВЕРОМУЙСКИЙ ОМ ОВД МУЙСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-013;3198;2593589632855709205
71;ИЛЬИНСКИЙ ОМ ОВД ПРИБАЙКАЛЬСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-014;3199;2593589640824886816
72;НОВОУОЯНСКИЙ ОМ ОВД СЕВЕРОБАЙКАЛЬСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-015;3200;2593591774995813931
73;СЕЛЕНДУМСКИЙ ОМ СЕЛЕНГИНСКОГО ГРОВД РЕСПУБЛИКИ БУРЯТИЯ;;033-016;3201;2593589638627071517
74;САГАННУРСКОЕ ОМ ОВД МУХОРШИБИРСКОГО РНА РЕСПУБЛИКИ БУРЯТИЯ;;033-017;3202;2593590496253187927
75;ОВД УЛАНУДЭ35 РЕСПУБЛИКИ БУРЯТИЯ;;033-018;3203;2593591783250204215
76;МВД РЕСПУБЛИКИ АЛТАЙ;;041-001;3217;2593590098306012470
77;ГОРНОАЛТАЙСКИЙ ГОВД РЕСПУБЛИКИ АЛТАЙ;;042-001;3218;2593587035499402588
78;МАЙМИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-002;3219;2593586692321449881
79;ЧОЙСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-003;3220;2593580849144272291
80;ТУРОЧАКСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-004;3221;2593587052024960372
81;ЧЕМАЛЬСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-005;3222;2593587052637328757
82;ШЕБАЛИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-006;3223;2593587053249697142
83;ОНГУДАЙСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-007;3224;2593587054038226295
84;УСТЬКАНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-008;3225;2593587050724726130
85;УСТЬКОКСИНСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-009;3226;2593586950816404717
86;ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УЛАГАНСКОМ РНЕ;;042-010;3227;2593580934833903133
87;КОШАГАЧСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;;042-011;3228;2593587051412591987
88;АКТАШСКОЕ ОМ РЕСПУБЛИКИ АЛТАЙ;;043-001;3229;2593587055623673209
89;ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ РАЗРЕШЕНИЙ ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИГ УФМС РОССИИ ПО САМАРСКОЙ ОБЛ;;000-455;3257;2593587469567924116
90;ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ШОВГЕНОВСКОМ РНЕ;;010-009;3265;2593582500819244437
91;МВД РЕСПУБЛИКИ АДЫГЕЯ;;011-001;3266;2593594972221478633
92;УВД Г МАЙКОПА РЕСПУБЛИКИ АДЫГЕЯ;;012-001;3267;2593593963382314437
93;ТАХТАМУКАЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;;012-003;3269;2593589418744878311
94;КРАСНОГВАРДЕЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;;012-004;3270;2593589335211119729
95;ТЕУЧЕЖСКИЙ ГРОВД РЕСПУБЛИКИ АДЫГЕЯ;;012-005;3271;2593589455403095322
96;КОШЕХАБЛЬСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;;012-006;3272;2593595641355572762
97;ГИАГИНСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;;012-007;3273;2593581439870047477
98;ШОВГЕНОВСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;;012-008;3274;2593589462164313380
99;ЯБЛОНОВСКОЕ ПОМ ТАХТАМУКАЙСКОГО РОВД РЕСПУБЛИКИ АДЫГЕЯ;;013-001;3275;2593589394778625222
100;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В П ШАМИЛЬКАЛА;;050-062;3346;2593580213925320239
101;МВД РЕСПУБЛИКИ ДАГЕСТАН;;051-001;3347;2593587865283728760
102;ОВД ЛЕНИНСКОГО РНА Г МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН;;052-001;3348;2593594799625868826
103;ОВД СОВЕТСКОГО РНА Г МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН;;052-002;3349;2593580198767105560
104;ОВД Г БУЙНАКСКА РЕСПУБЛИКИ ДАГЕСТАН;;052-003;3350;2593580212616697389
105;ОВД Г ИЗБЕРБАША РЕСПУБЛИКИ ДАГЕСТАН;;052-005;3352;2593591406769476663
106;ОВД Г КАСПИЙСКА РЕСПУБЛИКИ ДАГЕСТАН;;052-006;3353;2593591985717647189
107;КАРАМАХИНСКОЕ ПОМ БУЙНАКСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;053-008;3408;2593590099170039095
108;РЕЗЕРВ МВД РЕСПУБЛИКИ ДАГЕСТАН;;053-009;3409;2593591386276107293
109;ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В Г НАЗРАНЬ И Г МАГАС;;060-002;3411;2593588069806380649
110;ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В Г КАРАБУЛАК;;060-003;3412;2593591785741620795
111;ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В НАЗРАНОВСКОМ РНЕ;;060-004;3413;2593595570371171782
112;ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В СУНЖЕНСКОМ РНЕ;;060-005;3414;2593595495452513641
113;ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В МАЛГОБЕКСКОМ РНЕ;;060-006;3415;2593595572929697225
114;ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В ДЖЕЙРАХСКОМ РНЕ;;060-007;3416;2593595571134535111
115;МВД РЕСПУБЛИКИ ИНГУШЕТИЯ;;061-001;3417;2593581754568677024
116;ДЖЕЙРАХСКИЙ РАЙОНЫЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;;062-001;3418;2593589644960470566
117;НАЗРАНОВСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;;062-002;3419;2593588066736150118
118;КАРАБУЛАКСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;;062-003;3420;2593595586225640921
119;НАЗРАНОВСКИМ РАЙОНЫМ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;;062-004;3421;2593589511212504430
120;СУНЖЕНСКИЙ РОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;;062-005;3422;2593591789717820993
121;МАЛГОБЕКСКИЙ РАЙОНЫЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;;062-006;3423;2593588573022196926
122;ОВД Г МАГАС РЕСПУБЛИКИ ИНГУШЕТИЯ;;062-008;3424;2593595575488222668
123;ОТДЕЛ 2 УФМС РОССИИ ПО КАБАРДИНОБАЛКАРСКОЙ РЕСПУБЛИКЕ В Г НАЛЬЧИКЕ;;070-012;3436;2593582131343004757
124;МВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;071-001;3437;2593581479120344364
125;1 ОВД Г НАЛЬЧИКА;;072-001;3438;2593594916110079651
126;2 ОВД Г НАЛЬЧИКА;;072-002;3439;2593589495450309974
127;3 ОВД Г НАЛЬЧИКА;;072-003;3440;2593582065534374927
128;УРВАНСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-004;3441;2593593510263265105
129;ЗОЛЬСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-005;3442;2593589021795948255
130;МАЙСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-006;3443;2593589049218307840
131;ПРОХЛАДНЕНСКИЙ ГОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-007;3444;2593589071624279836
132;ЧЕГЕМСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-008;3445;2593589453708596504
133;ЧЕРЕКСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-009;3446;2593588998064576194
134;БАКСАНСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-010;3447;2593589400264774862
135;ТЕРСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-011;3448;2593589454564234521
136;ЭЛЬБРУССКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНОБАЛКАРИЯ;;072-012;3449;2593589057028101898
137;ПРОХЛАДНЕНСКИЙ РОВД КАБАРДИНОБАЛКАРСКОЙ РЕСПУБЛИКИ;;072-013;3450;2593588976103200421
138;БАКСАНСКИЙ ГОВД КАБАРДИНОБАЛКАРСКОЙ РЕСПУБЛИКИ;;072-015;3451;2593579960211870910
139;ОФМС РОССИИ ПО РЕСПУБЛИКЕ КАЛМЫКИЯ;;080-000;3452;2593588468005213238
140;МВД РЕСПУБЛИКИ КАЛМЫКИЯ;;081-001;3467;2593586934953546968
141;УВД Г ЭЛИСТА РЕСПУБЛИКИ КАЛМЫКИЯ;;082-001;3468;2593590109555135813
142;ОВД ГОРОДОВИКОВСКОГО РНА РЕСПУБЛИКИ КАЛМЫКИЯ;;082-002;3469;2593589763843823313
143;ИКИБУРУЛЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-003;3470;2593594816277255725
144;КЕТЧЕНЕРОВСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-004;3471;2593591886094538438
145;ЛАГАНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-005;3472;2593591469298160780
146;МАЛОДЕРБЕТОВСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-006;3473;2593591429066396757
147;ОКТЯБРЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-007;3474;2593594858002191966
148;ПРИЮТНЕНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-008;3475;2593589525129205121
149;САРПИНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-009;3476;2593594858992047711
150;ЦЕЛИННЫЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-010;3477;2593590110318499142
151;ЧЕРНОЗЕМЕЛЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-011;3478;2593591428336587860
152;ЮСТИНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-012;3479;2593590111065085255
153;ЯШАЛТИНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-013;3480;2593590689140839528
154;ЯШКУЛЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;;082-014;3481;2593580422038296399
155;ТП ОФМС РОССИИ ПО КАРАЧАЕВОЧЕРКЕССКОЙ РЕСПУБЛИКЕ В НОГАЙСКОМ РНЕ;;090-013;3494;2593588667360482610
156;МВД КАРАЧАЕВОЧЕРКЕССКОЙ РЕСПУБЛИКИ;;091-001;3495;2593587385530849067
157;АДЫГЕХАБЛЬСКИЙ РОВД КАРАЧАЕВОЧЕРКЕССКОЙ РЕСПУБЛИКИ;;092-001;3496;2593587409622931272
158;ЗЕЛЕНЧУКСКИЙ РОВД КАРАЧАЕВОЧЕРКЕССКОЙ РЕСПУБЛИКИ;;092-002;3497;2593587618474103886
159;МАЙКОПСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;;012-002;3268;2593591818029373032
160;ОВД Г КИЗИЛЮРТА РЕСПУБЛИКИ ДАГЕСТАН;;052-007;3354;2593588560456062125
161;ОВД Г КИЗЛЯРА РЕСПУБЛИКИ ДАГЕСТАН;;052-008;3355;2593590031784350938
162;ОВД КИЗЛЯРСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-009;3356;2593589806751553292
163;ОВД Г ХАСАВЮРТА РЕСПУБЛИКИ ДАГЕСТАН;;052-010;3357;2593580941804836404
164;ОВД ХАСАВЮРТОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-011;3358;2593590099857904952
165;ОВД АГУЛЬСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-012;3359;2593593571860813745
166;ОВД АКУШИНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-013;3360;2593590102022165819
167;ОВД АХВАХСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-014;3361;2593591986397124438
168;ОВД АХТЫНСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-015;3362;2593590107231491394
169;ОВД БАБАЮРТОВСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-016;3363;2593594775575729661
170;ОВД БОТЛИХСКОГО РНА РЕСПУБЛИКИ ДАГЕСТАН;;052-017;3364;2593591346673489903
