id;name_ru;name_en;regula_code;elpost_code;epgu_code
50;ОВД МУХОРШИБИРСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-016;3177;
51;ОВД ОКИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-017;3178;
52;ОВД ПРИБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-018;3179;
53;ОВД СЕВЕРОБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-019;3180;
54;ОВД Г. СЕВЕРОБАЙКАЛЬСКА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-020;3181;
55;СЕЛЕНГИНСКИЙ ГРОВД РЕСПУБЛИКИ БУРЯТИЯ;nan;032-021;3182;
56;ОВД ИВОЛГИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-023;3184;
57;ОВД ТАРБАГАТАЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-024;3185;
58;ОВД ХОРИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;032-025;3186;
59;ЗАГОРСКОЕ ОМ ОВД ЖЕЛЕЗНОДОРОЖНОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ;nan;033-001;3187;
60;ЗАРЕЧНОЕ ОМ ОВД СОВЕТСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ;nan;033-002;3188;
61;ОКТЯБРЬСКОЕ ОМ ОВД ОКТЯБРЬСКОГО Р-НА Г. УЛАН-УДЭ РЕСПУБЛИКИ БУРЯТИЯ;nan;033-003;3189;
62;УСТЬ-БАРГУЗИНСКИЙ ОМ ОВД БАРГУЗИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-005;3190;
63;ДЖИДИНСКОЕ ОМ ОВД ДЖИДИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-006;3191;
64;НОВОИЛЬИНСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-007;3192;
65;ОНОХОЙСКОЕ ОМ ОВД ЗАИГРАЕВСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-008;3193;
66;БАБУШКИНСКОЕ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-009;3194;
67;БАЙКАЛО-КУДАРИНСКИЙ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-010;3195;
68;СЕЛЕНГИНСКИЙ ОМ ОВД КАБАНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-011;3196;
69;КУДАРА-СОМОНСКИЙ ОМ ОВД КЯХТИНСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-012;3197;
70;СЕВЕРО-МУЙСКИЙ ОМ ОВД МУЙСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-013;3198;
71;ИЛЬИНСКИЙ ОМ ОВД ПРИБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-014;3199;
72;НОВО-УОЯНСКИЙ ОМ ОВД СЕВЕРОБАЙКАЛЬСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-015;3200;
74;САГАН-НУРСКОЕ ОМ ОВД МУХОРШИБИРСКОГО Р-НА РЕСПУБЛИКИ БУРЯТИЯ;nan;033-017;3202;
3711;ТП УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В БЕРЕЗОВСКОМ Р-НЕ;nan;240-044;10035;
75;ОВД УЛАН-УДЭ-35 РЕСПУБЛИКИ БУРЯТИЯ;nan;033-018;3203;
76;МВД РЕСПУБЛИКИ АЛТАЙ;nan;041-001;3217;
86;ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АЛТАЙ В УЛАГАНСКОМ Р-НЕ;nan;042-010;3227;
87;КОШ-АГАЧСКИЙ РОВД РЕСПУБЛИКИ АЛТАЙ;nan;042-011;3228;
3716;ОТДЕЛЕНИЕ УФМС РОССИИ ПО КРАСНОЯРСКОМУ КРАЮ В ТАЙМЫРСКОМ (ДОЛГАНО-НЕНЕЦКОМ) МУНИЦИПАЛЬНОМ Р-НЕ;nan;240-071;10040;
88;АКТАШСКОЕ ОМ РЕСПУБЛИКИ АЛТАЙ;nan;043-001;3229;
89;ОТДЕЛ ОФОРМЛЕНИЯ ВИЗ, РАЗРЕШЕНИЙ, ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИГ УФМС РОССИИ ПО САМАРСКОЙ ОБЛ.;nan;000-455;3257;
90;ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ АДЫГЕЯ В ШОВГЕНОВСКОМ Р-НЕ;nan;010-009;3265;
91;МВД РЕСПУБЛИКИ АДЫГЕЯ;nan;011-001;3266;
92;УВД Г. МАЙКОПА РЕСПУБЛИКИ АДЫГЕЯ;nan;012-001;3267;
93;ТАХТАМУКАЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;012-003;3269;
94;КРАСНОГВАРДЕЙСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;012-004;3270;
95;ТЕУЧЕЖСКИЙ ГРОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;012-005;3271;
96;КОШЕХАБЛЬСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;012-006;3272;
3727;ОТДЕЛЕНИЕ УФМС РОССИИ ПО ПРИМОРСКОМУ КРАЮ В ХАНКАЙСКОМ Р-НЕ;nan;250-048;10051;
97;ГИАГИНСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;012-007;3273;
98;ШОВГЕНОВСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;012-008;3274;
99;ЯБЛОНОВСКОЕ ПОМ ТАХТАМУКАЙСКОГО РОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;013-001;3275;
100;ТП УФМС РОССИИ ПО РЕСПУБЛИКЕ ДАГЕСТАН В П. ШАМИЛЬКАЛА;nan;050-062;3346;
101;МВД РЕСПУБЛИКИ ДАГЕСТАН;nan;051-001;3347;
102;ОВД ЛЕНИНСКОГО Р-НА Г. МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН;nan;052-001;3348;
103;ОВД СОВЕТСКОГО Р-НА Г. МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН;nan;052-002;3349;
104;ОВД Г. БУЙНАКСКА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-003;3350;
105;ОВД Г. ИЗБЕРБАША РЕСПУБЛИКИ ДАГЕСТАН;nan;052-005;3352;
106;ОВД Г. КАСПИЙСКА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-006;3353;
107;КАРАМАХИНСКОЕ ПОМ БУЙНАКСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;053-008;3408;
108;РЕЗЕРВ МВД РЕСПУБЛИКИ ДАГЕСТАН;nan;053-009;3409;
109;ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В Г. НАЗРАНЬ И Г. МАГАС;nan;060-002;3411;
110;ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В Г. КАРАБУЛАК;nan;060-003;3412;
111;ОТДЕЛЕНИЕ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В НАЗРАНОВСКОМ Р-НЕ;nan;060-004;3413;
112;ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В СУНЖЕНСКОМ Р-НЕ;nan;060-005;3414;
113;ОТДЕЛ ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В МАЛГОБЕКСКОМ Р-НЕ;nan;060-006;3415;
114;ТП ОФМС РОССИИ ПО РЕСПУБЛИКЕ ИНГУШЕТИЯ В ДЖЕЙРАХСКОМ Р-НЕ;nan;060-007;3416;
115;МВД РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;061-001;3417;
116;ДЖЕЙРАХСКИЙ РАЙОНЫЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;062-001;3418;
117;НАЗРАНОВСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;062-002;3419;
118;КАРАБУЛАКСКИЙ ГОРОДСКОЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;062-003;3420;
119;НАЗРАНОВСКИМ РАЙОНЫМ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;062-004;3421;
120;СУНЖЕНСКИЙ РОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;062-005;3422;
121;МАЛГОБЕКСКИЙ РАЙОНЫЙ ОВД РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;062-006;3423;
122;ОВД Г. МАГАС РЕСПУБЛИКИ ИНГУШЕТИЯ;nan;062-008;3424;
123;ОТДЕЛ №2 УФМС РОССИИ ПО КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКЕ В Г. НАЛЬЧИКЕ;nan;070-012;3436;
124;МВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;071-001;3437;
125;1 ОВД Г. НАЛЬЧИКА;nan;072-001;3438;
126;2 ОВД Г. НАЛЬЧИКА;nan;072-002;3439;
127;3 ОВД Г. НАЛЬЧИКА;nan;072-003;3440;
128;УРВАНСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-004;3441;
129;ЗОЛЬСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-005;3442;
130;МАЙСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-006;3443;
3760;ОТДЕЛЕНИЕ № 2 ОТДЕЛА УФМС РОССИИ ПО БЕЛГОРОДСКОЙ ОБЛ. В Г. СТАРЫЙ ОСКОЛ;nan;310-021;10084;
3761;МЕЖРАЙОННЫЙ ОТДЕЛ УФМС РОССИИ ПО БРЯНСКОЙ ОБЛ. В Г. ДЯТЬКОВО;nan;320-010;10085;
3762;ТП В ПГТ БАЛАКИРЕВО ОУФМС РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛ. В АЛЕКСАНДРОВСКОМ Р-НЕ;nan;330-002;10086;
3763;ТП В Г. КАРАБАНОВО ОУФМС РОССИИ ПО ВЛАДИМИРСКОЙ ОБЛ. В АЛЕКСАНДРОВСКОМ Р-НЕ;nan;330-003;10087;
131;ПРОХЛАДНЕНСКИЙ ГОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-007;3444;
132;ЧЕГЕМСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-008;3445;
3768;ТП В ПОС. ЛЯНГАСОВО ОУФМС РОССИИ ПО КИРОВСКОЙ ОБЛАСТИ В ЛЕНИНСКОМ РАЙОНЕ Г. КИРОВА;nan;430-045;10092;
133;ЧЕРЕКСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-009;3446;
134;БАКСАНСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-010;3447;
135;ТЕРСКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-011;3448;
136;ЭЛЬБРУССКИЙ РОВД РЕСПУБЛИКИ КАБАРДИНО-БАЛКАРИЯ;nan;072-012;3449;
137;ПРОХЛАДНЕНСКИЙ РОВД КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ;nan;072-013;3450;
138;БАКСАНСКИЙ ГОВД КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ;nan;072-015;3451;
139;ОФМС РОССИИ ПО РЕСПУБЛИКЕ КАЛМЫКИЯ;nan;080-000;3452;
140;МВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;081-001;3467;
141;УВД Г. ЭЛИСТА РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-001;3468;
142;ОВД ГОРОДОВИКОВСКОГО Р-НА РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-002;3469;
143;ИКИ-БУРУЛЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-003;3470;
144;КЕТЧЕНЕРОВСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-004;3471;
145;ЛАГАНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-005;3472;
146;МАЛОДЕРБЕТОВСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-006;3473;
147;ОКТЯБРЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-007;3474;
4415;ОЗЕРНОВСКОЕ ПОМ ОВД УСТЬ-БОЛЬШЕРЕЦКОГО РАЙОННОГО МО КАМЧАТСКОЙ ОБЛ.;nan;412-012;10109;
148;ПРИЮТНЕНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-008;3475;
149;САРПИНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-009;3476;
150;ЦЕЛИННЫЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-010;3477;
151;ЧЕРНОЗЕМЕЛЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-011;3478;
152;ЮСТИНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-012;3479;
153;ЯШАЛТИНСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-013;3480;
154;ЯШКУЛЬСКИЙ РОВД РЕСПУБЛИКИ КАЛМЫКИЯ;nan;082-014;3481;
155;ТП ОФМС РОССИИ ПО КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКЕ В НОГАЙСКОМ Р-НЕ;nan;090-013;3494;
156;МВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКИ;nan;091-001;3495;
157;АДЫГЕ-ХАБЛЬСКИЙ РОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКИ;nan;092-001;3496;
158;ЗЕЛЕНЧУКСКИЙ РОВД КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКИ;nan;092-002;3497;
159;МАЙКОПСКИЙ РОВД РЕСПУБЛИКИ АДЫГЕЯ;nan;012-002;3268;
160;ОВД Г. КИЗИЛЮРТА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-007;3354;
161;ОВД Г. КИЗЛЯРА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-008;3355;
162;ОВД КИЗЛЯРСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-009;3356;
163;ОВД Г. ХАСАВЮРТА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-010;3357;
164;ОВД ХАСАВЮРТОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-011;3358;
165;ОВД АГУЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-012;3359;
166;ОВД АКУШИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-013;3360;
167;ОВД АХВАХСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-014;3361;
168;ОВД АХТЫНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-015;3362;
169;ОВД БАБАЮРТОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-016;3363;
170;ОВД БОТЛИХСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-017;3364;
171;ОВД ГЕРГЕБИЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-018;3365;
172;ОВД ГУМБЕТОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-019;3366;
173;ОВД ГУНИБСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-020;3367;
174;ОВД ДАХАДАЕВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-021;3368;
175;ОВД КАЙТАГСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-023;3370;
176;ОВД КАЯКЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-024;3371;
177;ОВД КУЛИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-025;3372;
178;ОВД КУРАХСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-026;3373;
179;ОВД ЛАКСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-027;3374;
180;ОВД ЛЕВАШИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-028;3375;
181;ОВД КАРАБУДАХКЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-029;3376;
182;ОВД МАГАРАМКЕНТСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-030;3377;
183;ОВД НОВОЛАКСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-031;3378;
184;ОВД НОГАЙСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-032;3379;
185;ОВД РУТУЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-033;3380;
186;ОВД СЕРГОКАЛИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-034;3381;
187;ОВД ШАМИЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-035;3382;
188;ОВД СУЛЕЙМАН-СТАЛЬСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-036;3383;
189;ОВД ТАРУМОВСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-038;3385;
190;ОВД КИРОВСКОГО Р-НА Г. МАХАЧКАЛЫ РЕСПУБЛИКИ ДАГЕСТАН;nan;052-039;3386;
191;ОВД ТЛЯРАТИНСКОГО Р-НА РЕСПУБЛИКИ ДАГЕСТАН;nan;052-040;3387;
